user_id,segment,signup_date,event_date,event
1,free,2025-01-22,2025-01-29,session
1,free,2025-01-22,2025-01-31,session
1,free,2025-01-22,2025-01-29,session
1,free,2025-01-22,2025-02-03,session
1,free,2025-01-22,2025-02-04,session
1,free,2025-01-22,2025-01-31,session
1,free,2025-01-22,2025-02-08,session
1,free,2025-01-22,2025-02-05,session
1,free,2025-01-22,2025-02-10,purchase
1,free,2025-01-22,2025-03-18,feature_use
1,free,2025-01-22,2025-03-15,session
1,free,2025-01-22,2025-03-17,purchase
1,free,2025-01-22,2025-03-15,session
1,free,2025-01-22,2025-03-17,session
1,free,2025-01-22,2025-03-12,session
1,free,2025-01-22,2025-03-12,feature_use
1,free,2025-01-22,2025-03-15,session
3,free,2025-02-27,2025-02-28,session
3,free,2025-02-27,2025-02-27,session
3,free,2025-02-27,2025-03-03,session
3,free,2025-02-27,2025-03-05,session
3,free,2025-02-27,2025-02-28,session
3,free,2025-02-27,2025-03-06,session
3,free,2025-02-27,2025-03-09,feature_use
3,free,2025-02-27,2025-03-07,session
3,free,2025-02-27,2025-03-11,session
3,free,2025-02-27,2025-03-08,session
3,free,2025-02-27,2025-04-15,feature_use
3,free,2025-02-27,2025-04-14,session
3,free,2025-02-27,2025-04-10,feature_use
3,free,2025-02-27,2025-04-14,session
3,free,2025-02-27,2025-04-11,session
3,free,2025-02-27,2025-04-12,session
6,free,2025-05-10,2025-06-23,session
6,free,2025-05-10,2025-06-21,feature_use
6,free,2025-05-10,2025-06-22,session
7,trial,2025-05-05,2025-05-08,session
7,trial,2025-05-05,2025-05-05,session
7,trial,2025-05-05,2025-05-10,session
7,trial,2025-05-05,2025-05-07,purchase
7,trial,2025-05-05,2025-05-09,session
7,trial,2025-05-05,2025-05-10,session
7,trial,2025-05-05,2025-05-10,session
7,trial,2025-05-05,2025-05-07,session
7,trial,2025-05-05,2025-05-08,session
7,trial,2025-05-05,2025-05-11,session
7,trial,2025-05-05,2025-05-06,session
7,trial,2025-05-05,2025-05-06,session
7,trial,2025-05-05,2025-05-06,session
7,trial,2025-05-05,2025-05-05,feature_use
7,trial,2025-05-05,2025-05-14,feature_use
7,trial,2025-05-05,2025-05-16,session
7,trial,2025-05-05,2025-05-12,purchase
7,trial,2025-05-05,2025-05-17,session
7,trial,2025-05-05,2025-05-14,feature_use
7,trial,2025-05-05,2025-05-18,session
7,trial,2025-05-05,2025-05-13,session
7,trial,2025-05-05,2025-05-15,session
7,trial,2025-05-05,2025-05-13,session
7,trial,2025-05-05,2025-05-12,session
7,trial,2025-05-05,2025-05-12,session
7,trial,2025-05-05,2025-05-17,feature_use
7,trial,2025-05-05,2025-05-16,session
7,trial,2025-05-05,2025-05-15,feature_use
7,trial,2025-05-05,2025-05-23,session
7,trial,2025-05-05,2025-05-21,session
7,trial,2025-05-05,2025-05-21,session
7,trial,2025-05-05,2025-05-20,feature_use
7,trial,2025-05-05,2025-05-23,session
7,trial,2025-05-05,2025-05-24,feature_use
7,trial,2025-05-05,2025-05-21,session
7,trial,2025-05-05,2025-05-20,session
7,trial,2025-05-05,2025-06-04,session
7,trial,2025-05-05,2025-06-06,session
7,trial,2025-05-05,2025-06-04,session
7,trial,2025-05-05,2025-06-05,session
7,trial,2025-05-05,2025-06-08,session
7,trial,2025-05-05,2025-06-02,session
7,trial,2025-05-05,2025-06-08,session
7,trial,2025-05-05,2025-06-10,session
7,trial,2025-05-05,2025-06-11,session
7,trial,2025-05-05,2025-06-12,session
7,trial,2025-05-05,2025-06-11,purchase
7,trial,2025-05-05,2025-06-10,session
7,trial,2025-05-05,2025-06-10,session
7,trial,2025-05-05,2025-06-14,session
7,trial,2025-05-05,2025-06-15,session
7,trial,2025-05-05,2025-06-17,session
7,trial,2025-05-05,2025-06-22,session
7,trial,2025-05-05,2025-06-20,session
7,trial,2025-05-05,2025-06-21,session
7,trial,2025-05-05,2025-06-21,session
7,trial,2025-05-05,2025-06-18,session
7,trial,2025-05-05,2025-06-18,session
7,trial,2025-05-05,2025-06-22,session
7,trial,2025-05-05,2025-06-19,session
7,trial,2025-05-05,2025-06-18,session
7,trial,2025-05-05,2025-06-16,session
7,trial,2025-05-05,2025-06-17,session
7,trial,2025-05-05,2025-06-16,session
7,trial,2025-05-05,2025-06-16,session
7,trial,2025-05-05,2025-06-19,session
9,free,2025-01-06,2025-01-06,session
9,free,2025-01-06,2025-01-07,feature_use
9,free,2025-01-06,2025-01-07,session
9,free,2025-01-06,2025-01-09,session
9,free,2025-01-06,2025-01-11,session
9,free,2025-01-06,2025-01-25,feature_use
9,free,2025-01-06,2025-01-23,session
9,free,2025-01-06,2025-01-26,session
9,free,2025-01-06,2025-01-20,session
9,free,2025-01-06,2025-01-22,session
9,free,2025-01-06,2025-01-25,session
9,free,2025-01-06,2025-01-23,feature_use
9,free,2025-01-06,2025-01-24,session
9,free,2025-01-06,2025-01-21,session
9,free,2025-01-06,2025-01-28,session
9,free,2025-01-06,2025-01-27,feature_use
9,free,2025-01-06,2025-01-29,session
9,free,2025-01-06,2025-01-31,session
9,free,2025-01-06,2025-01-30,session
9,free,2025-01-06,2025-01-31,purchase
9,free,2025-01-06,2025-01-28,session
9,free,2025-01-06,2025-05-01,session
9,free,2025-01-06,2025-05-02,session
9,free,2025-01-06,2025-05-01,session
9,free,2025-01-06,2025-05-03,session
9,free,2025-01-06,2025-04-29,session
9,free,2025-01-06,2025-05-02,session
9,free,2025-01-06,2025-04-28,feature_use
9,free,2025-01-06,2025-04-28,feature_use
11,trial,2025-02-20,2025-02-21,session
11,trial,2025-02-20,2025-02-25,session
11,trial,2025-02-20,2025-02-22,feature_use
11,trial,2025-02-20,2025-02-24,session
11,trial,2025-02-20,2025-02-20,session
11,trial,2025-02-20,2025-02-24,session
11,trial,2025-02-20,2025-02-26,feature_use
11,trial,2025-02-20,2025-02-24,feature_use
11,trial,2025-02-20,2025-03-05,session
11,trial,2025-02-20,2025-03-05,session
11,trial,2025-02-20,2025-02-28,feature_use
11,trial,2025-02-20,2025-03-01,session
11,trial,2025-02-20,2025-02-27,session
11,trial,2025-02-20,2025-03-03,session
11,trial,2025-02-20,2025-03-03,session
11,trial,2025-02-20,2025-03-01,session
11,trial,2025-02-20,2025-03-16,session
11,trial,2025-02-20,2025-03-17,session
11,trial,2025-02-20,2025-03-16,session
11,trial,2025-02-20,2025-03-13,session
11,trial,2025-02-20,2025-03-18,session
11,trial,2025-02-20,2025-03-19,session
11,trial,2025-02-20,2025-03-18,session
11,trial,2025-02-20,2025-03-13,feature_use
11,trial,2025-02-20,2025-03-18,session
11,trial,2025-02-20,2025-03-17,session
11,trial,2025-02-20,2025-03-18,session
11,trial,2025-02-20,2025-03-17,session
11,trial,2025-02-20,2025-03-19,session
11,trial,2025-02-20,2025-03-16,session
11,trial,2025-02-20,2025-03-25,session
11,trial,2025-02-20,2025-03-22,session
11,trial,2025-02-20,2025-03-26,session
11,trial,2025-02-20,2025-03-26,session
11,trial,2025-02-20,2025-03-23,session
11,trial,2025-02-20,2025-03-24,session
11,trial,2025-02-20,2025-03-25,feature_use
11,trial,2025-02-20,2025-03-24,session
11,trial,2025-02-20,2025-03-22,session
11,trial,2025-02-20,2025-03-24,session
11,trial,2025-02-20,2025-04-01,session
11,trial,2025-02-20,2025-03-30,session
11,trial,2025-02-20,2025-03-27,feature_use
11,trial,2025-02-20,2025-04-01,session
11,trial,2025-02-20,2025-03-27,session
11,trial,2025-02-20,2025-03-31,session
11,trial,2025-02-20,2025-03-31,session
11,trial,2025-02-20,2025-03-30,feature_use
11,trial,2025-02-20,2025-03-27,session
11,trial,2025-02-20,2025-03-27,session
11,trial,2025-02-20,2025-04-14,session
11,trial,2025-02-20,2025-04-14,feature_use
11,trial,2025-02-20,2025-04-14,feature_use
11,trial,2025-02-20,2025-04-12,session
11,trial,2025-02-20,2025-04-14,session
11,trial,2025-02-20,2025-04-16,session
11,trial,2025-02-20,2025-04-15,session
11,trial,2025-02-20,2025-04-13,session
11,trial,2025-02-20,2025-04-11,feature_use
11,trial,2025-02-20,2025-04-12,session
11,trial,2025-02-20,2025-04-14,feature_use
11,trial,2025-02-20,2025-04-30,session
11,trial,2025-02-20,2025-04-28,session
11,trial,2025-02-20,2025-04-24,purchase
11,trial,2025-02-20,2025-04-30,session
11,trial,2025-02-20,2025-04-28,session
11,trial,2025-02-20,2025-06-26,feature_use
11,trial,2025-02-20,2025-06-26,feature_use
11,trial,2025-02-20,2025-07-02,session
11,trial,2025-02-20,2025-06-30,session
11,trial,2025-02-20,2025-06-28,session
11,trial,2025-02-20,2025-06-26,feature_use
11,trial,2025-02-20,2025-06-30,purchase
11,trial,2025-02-20,2025-06-26,session
11,trial,2025-02-20,2025-06-27,session
12,free,2025-01-21,2025-02-21,session
12,free,2025-01-21,2025-02-23,session
14,free,2025-01-17,2025-01-28,session
14,free,2025-01-17,2025-01-28,purchase
14,free,2025-01-17,2025-01-30,session
14,free,2025-01-17,2025-01-25,session
14,free,2025-01-17,2025-01-26,session
14,free,2025-01-17,2025-01-29,feature_use
15,free,2025-03-08,2025-03-09,session
15,free,2025-03-08,2025-03-11,session
15,free,2025-03-08,2025-03-13,session
15,free,2025-03-08,2025-03-12,feature_use
15,free,2025-03-08,2025-03-12,session
15,free,2025-03-08,2025-03-14,session
15,free,2025-03-08,2025-03-12,session
15,free,2025-03-08,2025-03-12,session
15,free,2025-03-08,2025-03-10,session
15,free,2025-03-08,2025-03-10,feature_use
15,free,2025-03-08,2025-03-11,purchase
15,free,2025-03-08,2025-03-17,feature_use
15,free,2025-03-08,2025-03-16,session
15,free,2025-03-08,2025-03-15,session
15,free,2025-03-08,2025-03-20,session
15,free,2025-03-08,2025-03-17,session
15,free,2025-03-08,2025-03-18,session
15,free,2025-03-08,2025-03-18,session
15,free,2025-03-08,2025-03-19,session
15,free,2025-03-08,2025-03-18,session
15,free,2025-03-08,2025-03-15,session
15,free,2025-03-08,2025-03-21,feature_use
15,free,2025-03-08,2025-03-20,session
15,free,2025-03-08,2025-03-19,session
15,free,2025-03-08,2025-03-17,session
15,free,2025-03-08,2025-03-21,session
15,free,2025-03-08,2025-03-25,session
15,free,2025-03-08,2025-03-27,feature_use
15,free,2025-03-08,2025-03-27,session
15,free,2025-03-08,2025-03-23,feature_use
15,free,2025-03-08,2025-05-28,session
15,free,2025-03-08,2025-05-25,session
15,free,2025-03-08,2025-05-24,session
15,free,2025-03-08,2025-05-29,session
15,free,2025-03-08,2025-05-24,session
15,free,2025-03-08,2025-05-26,session
15,free,2025-03-08,2025-05-25,feature_use
15,free,2025-03-08,2025-05-26,feature_use
15,free,2025-03-08,2025-05-29,session
18,trial,2025-02-04,2025-02-20,session
18,trial,2025-02-04,2025-02-18,session
18,trial,2025-02-04,2025-02-20,session
